objective,train_size,train_R2_mean,train_R2_std,cv_R2_mean,cv_R2_std,gap
Q_tot,139,0.9999910902297346,2.1004492290539636e-06,0.9014542598629868,0.017557259930455347,0.09853683036674787
Q_tot,244,0.9998713700211393,3.182479291839186e-05,0.9292494713009143,0.00825112432964608,0.07062189872022506
Q_tot,349,0.9995515719463748,0.00010582451273242681,0.9412088892851764,0.008587065659292929,0.05834268266119835
Q_tot,454,0.9992305800933543,7.498419908215221e-05,0.9469205242728116,0.008490409105582604,0.05231005582054271
Q_tot,559,0.9988138368781545,5.38843291027816e-05,0.9540370998981327,0.00741583281315248,0.044776736980021825
Q_tot,699,0.9983301593029316,0.00021567148641385002,0.958490219988219,0.007207776668250997,0.039839939314712525
DF,139,0.9999531926713818,1.6519318849278275e-05,0.6064119909048744,0.022145380160530265,0.3935412017665074
DF,244,0.9992840924182069,0.00015045889930379985,0.6730922513046703,0.019665249199393456,0.3261918411135366
DF,349,0.9972664105014568,0.0004115828052971024,0.7267780065452246,0.011274020809070725,0.2704884039562322
DF,454,0.994325737417068,0.0004879120280422634,0.7452892705891502,0.024876101663036637,0.2490364668279178
DF,559,0.9903308141928774,0.000682327626273528,0.7618942221091757,0.01813435882698099,0.2284365920837017
DF,699,0.9849454185459919,0.00065301874110535,0.776562074392997,0.013987841130345959,0.20838334415299498
K_h,139,0.9134935855946864,0.011409772708953702,0.6461142655792802,0.06679537321143228,0.2673793200154062
K_h,244,0.9406474615240711,0.008006964908334522,0.7546993493693221,0.04689097842976326,0.18594811215474893
K_h,349,0.9496275024127216,0.002301570015073845,0.818447023632281,0.043924864293703195,0.1311804787804407
K_h,454,0.9755892992589349,0.0028850031586955672,0.8902522397916979,0.02680866842714659,0.08533705946723702
K_h,559,0.9798194159938329,0.0024896012117656807,0.9125643440801078,0.02011243636097599,0.06725507191372515
K_h,699,0.9861572972886516,0.0011779176559438337,0.9281763343349143,0.013936673243221296,0.057980962953737336
